CLASS,CONTENT
spam,+447935454150 lovely girl talk to me xxx﻿
ham,I always end up coming back to this song<br />﻿
spam,"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com﻿"
ham,Cool﻿
spam,Hello I&#39;am from Palastine﻿
ham,Wow this video almost has a billion views! Didn&#39;t know it was so popular ﻿
spam,Go check out my rapping video called Four Wheels please ❤️﻿
ham,Almost 1 billion﻿
spam,Aslamu Lykum... From Pakistan﻿
ham,Eminem is idol for very people in España and Mexico or Latinoamerica﻿
spam,Help me get 50 subs please ﻿
ham,i love song :)﻿
spam,"Alright ladies, if you like this song, then check out John Rage.  He&#39;s a smoking hot rapper coming into the game.  He&#39;s not better than Eminem lyrically, but he&#39;s hotter. Hear some of his songs on my channel.﻿"
ham,The perfect example of abuse from husbands and the thing is I&#39;m a feminist so I definitely agree with this song and well...if I see this someone&#39;s going to die! Just sayin.﻿
ham,The boyfriend was Charlie from the TV show LOST ﻿
spam,"<a href=""https://www.facebook.com/groups/100877300245414/"">https://www.facebook.com/groups/100877300245414/</a>﻿"
spam,Take a look at this video on YouTube:﻿
spam,Check out our Channel for nice Beats!!﻿
ham,Rihanna and Eminem together are unstoppable.﻿
spam,Check out this playlist on YouTube:﻿
ham,This song is about Rape and Cheating     <br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Basically.....﻿
spam,like please﻿
ham,"I love this song, can&#39;t believe it was 5 years ago, it doesn&#39;t get old though﻿"
ham,OMG that looks just like a piece of the mirror of harry potter and the deathly hallows.<br />Either that house. (sirius black)﻿
spam,"I shared my first song &quot;I Want You&quot;, and I hope you&#39;ll like it. Take a listen!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿"
spam,Come and check out my music!Im spamming on loads of videos but its just to try and get my music across to new people﻿
spam,Check out this playlist on YouTube:﻿
spam,HUH HYUCK HYUCK IM SPECIAL WHO&#39;S WATCHING THIS IN 2015 IM FROM AUSTRALIA OR SOMETHING GIVE ME ATTENTION PLEASE IM JUST A RAPPER WITH A DREAM IM GONNA SHARE THIS ON GOOGLE PLUS BECAUSE IM SO COOL.﻿
ham,"You exactly who u want to be,watching your favourite rappers on tv﻿"
ham,Rihanna is absolutely gorgeous in this video.﻿
spam,Check out this video on YouTube:<br /><br />Love this song... It&#39;s all good will never go back that but I&#39;ll always remember the passion but never want to go back to being dysfunctional insanity....... Goal is to live happy not live insane. ﻿
ham,"Don&#39;t love someone soo much, love the way u lie..﻿"
ham,one of the BEST SONGS in music history﻿
spam,Check out this playlist on YouTube:﻿
spam,Check out this video on YouTube:﻿
spam,Check out this video on YouTube:﻿
ham,No-I hate The Way U LIe!!﻿
ham,Fuck Eminem. Bieber is the best &lt;3﻿
spam,Check out this playlist on YouTube:chcfcvzfzfbvzdr﻿
spam,Check out this playlist on YouTube: ﻿
